run_id,client,cl_batch,size
20251125-130147,0,1,5242
20251125-130147,0,2,1001
20251125-130147,0,3,1001
20251125-130147,0,4,1001
20251125-130147,0,5,1001
20251125-130147,0,6,1001
20251125-130147,0,7,1003
20251125-130147,1,1,5242
20251125-130147,1,2,1001
20251125-130147,1,3,1001
20251125-130147,1,4,1001
20251125-130147,1,5,1001
20251125-130147,1,6,1001
20251125-130147,1,7,1003
20251125-130147,2,1,5242
20251125-130147,2,2,1001
20251125-130147,2,3,1001
20251125-130147,2,4,1001
20251125-130147,2,5,1001
20251125-130147,2,6,1001
20251125-130147,2,7,1003
20251125-130147,3,1,5242
20251125-130147,3,2,1001
20251125-130147,3,3,1001
20251125-130147,3,4,1001
20251125-130147,3,5,1001
20251125-130147,3,6,1001
20251125-130147,3,7,1003
