run_id,client,cl_batch,size
20251124-143135,0,1,5242
20251124-143135,0,2,1001
20251124-143135,0,3,1001
20251124-143135,0,4,1001
20251124-143135,0,5,1001
20251124-143135,0,6,1001
20251124-143135,0,7,1003
20251124-143135,1,1,5242
20251124-143135,1,2,1001
20251124-143135,1,3,1001
20251124-143135,1,4,1001
20251124-143135,1,5,1001
20251124-143135,1,6,1001
20251124-143135,1,7,1003
20251124-143135,2,1,5242
20251124-143135,2,2,1001
20251124-143135,2,3,1001
20251124-143135,2,4,1001
20251124-143135,2,5,1001
20251124-143135,2,6,1001
20251124-143135,2,7,1003
20251124-143135,3,1,5242
20251124-143135,3,2,1001
20251124-143135,3,3,1001
20251124-143135,3,4,1001
20251124-143135,3,5,1001
20251124-143135,3,6,1001
20251124-143135,3,7,1003
