run_id,client,cl_batch,size
20251125-120534,0,1,5242
20251125-120534,0,2,1001
20251125-120534,0,3,1001
20251125-120534,0,4,1001
20251125-120534,0,5,1001
20251125-120534,0,6,1001
20251125-120534,0,7,1003
20251125-120534,1,1,5242
20251125-120534,1,2,1001
20251125-120534,1,3,1001
20251125-120534,1,4,1001
20251125-120534,1,5,1001
20251125-120534,1,6,1001
20251125-120534,1,7,1003
20251125-120534,2,1,5242
20251125-120534,2,2,1001
20251125-120534,2,3,1001
20251125-120534,2,4,1001
20251125-120534,2,5,1001
20251125-120534,2,6,1001
20251125-120534,2,7,1003
20251125-120534,3,1,5242
20251125-120534,3,2,1001
20251125-120534,3,3,1001
20251125-120534,3,4,1001
20251125-120534,3,5,1001
20251125-120534,3,6,1001
20251125-120534,3,7,1003
