run_id,client,cl_batch,size
20260815-181542,0,1,5152
20260815-181542,0,2,984
20260815-181542,0,3,984
20260815-181542,0,4,984
20260815-181542,0,5,984
20260815-181542,0,6,984
20260815-181542,0,7,984
20260815-181542,1,1,5427
20260815-181542,1,2,1036
20260815-181542,1,3,1036
20260815-181542,1,4,1036
20260815-181542,1,5,1036
20260815-181542,1,6,1036
20260815-181542,1,7,1038
20260815-181542,2,1,4940
20260815-181542,2,2,943
20260815-181542,2,3,943
20260815-181542,2,4,943
20260815-181542,2,5,943
20260815-181542,2,6,943
20260815-181542,2,7,946
20260815-181542,3,1,5451
20260815-181542,3,2,1041
20260815-181542,3,3,1041
20260815-181542,3,4,1041
20260815-181542,3,5,1041
20260815-181542,3,6,1041
20260815-181542,3,7,1042
