run_id,client,cl_batch,size
20260815-162434,0,1,5242
20260815-162434,0,2,1001
20260815-162434,0,3,1001
20260815-162434,0,4,1001
20260815-162434,0,5,1001
20260815-162434,0,6,1001
20260815-162434,0,7,1003
20260815-162434,1,1,5242
20260815-162434,1,2,1001
20260815-162434,1,3,1001
20260815-162434,1,4,1001
20260815-162434,1,5,1001
20260815-162434,1,6,1001
20260815-162434,1,7,1003
20260815-162434,2,1,5242
20260815-162434,2,2,1001
20260815-162434,2,3,1001
20260815-162434,2,4,1001
20260815-162434,2,5,1001
20260815-162434,2,6,1001
20260815-162434,2,7,1003
20260815-162434,3,1,5242
20260815-162434,3,2,1001
20260815-162434,3,3,1001
20260815-162434,3,4,1001
20260815-162434,3,5,1001
20260815-162434,3,6,1001
20260815-162434,3,7,1003
