run_id,tag,round,client,epoch,lr,replay_ratio,cl_batch,cl_batch_size,train_loss,train_acc,val_loss,val_acc
20260815-162434,full_s42_fixed_epochs5_pat2_measure,0,0,1,0.0001,0.5,1,5242,4.262540544782366,14.983839689722043,3.949469840526581,20.72
20260815-162434,full_s42_fixed_epochs5_pat2_measure,0,0,2,0.0001,0.5,1,5242,3.449833722341628,41.39641358260206,3.1901638746261596,35.5
20260815-162434,full_s42_fixed_epochs5_pat2_measure,0,0,3,0.0001,0.5,1,5242,2.818350757871355,53.17308915172326,2.746856987476349,44.24
20260815-162434,full_s42_fixed_epochs5_pat2_measure,0,0,4,0.0001,0.5,1,5242,2.285602580933344,63.5762431641867,2.4589312434196473,50.38
20260815-162434,full_s42_fixed_epochs5_pat2_measure,0,0,5,0.0001,0.5,1,5242,1.8382368825730824,72.65674678875747,2.2246041178703306,55.38
20260815-162434,full_s42_fixed_epochs5_pat2_measure,0,1,1,0.0001,0.5,1,5242,4.259876807530721,15.229476405946993,3.9517707228660583,20.56
20260815-162434,full_s42_fixed_epochs5_pat2_measure,0,1,2,0.0001,0.5,1,5242,3.46748617717198,38.4586035864174,3.2306471467018127,35.06
20260815-162434,full_s42_fixed_epochs5_pat2_measure,0,1,3,0.0001,0.5,1,5242,2.796808469863165,52.39730382805545,2.7730756521224977,42.72
20260815-162434,full_s42_fixed_epochs5_pat2_measure,0,1,4,0.0001,0.5,1,5242,2.2629748299008323,62.32989952944169,2.46800491809845,48.52
20260815-162434,full_s42_fixed_epochs5_pat2_measure,0,1,5,0.0001,0.5,1,5242,1.8152707474572318,71.38496756962991,2.2235416054725645,53.9
20260815-162434,full_s42_fixed_epochs5_pat2_measure,0,2,1,0.0001,0.5,1,5242,4.273402134577434,15.669036845507433,3.9804187655448913,20.84
20260815-162434,full_s42_fixed_epochs5_pat2_measure,0,2,2,0.0001,0.5,1,5242,3.484821739650908,36.614523718682435,3.232847845554352,32.96
20260815-162434,full_s42_fixed_epochs5_pat2_measure,0,2,3,0.0001,0.5,1,5242,2.855187257130941,49.72656746788758,2.7726277232170107,44.16
20260815-162434,full_s42_fixed_epochs5_pat2_measure,0,2,4,0.0001,0.5,1,5242,2.3060980637868247,62.88948238585782,2.4630932092666624,50.98
20260815-162434,full_s42_fixed_epochs5_pat2_measure,0,2,5,0.0001,0.5,1,5242,1.8596126181738717,71.46127432277757,2.1953861236572267,55.6
20260815-162434,full_s42_fixed_epochs5_pat2_measure,0,3,1,0.0001,0.5,1,5242,4.264549845740909,14.246929541047187,3.927234399318695,19.88
20260815-162434,full_s42_fixed_epochs5_pat2_measure,0,3,2,0.0001,0.5,1,5242,3.437891029176258,37.45389800330663,3.2419073939323426,33.58
20260815-162434,full_s42_fixed_epochs5_pat2_measure,0,3,3,0.0001,0.5,1,5242,2.7833351294199624,51.96489889355208,2.7582605600357057,43.32
20260815-162434,full_s42_fixed_epochs5_pat2_measure,0,3,4,0.0001,0.5,1,5242,2.2577299731118337,62.03739030904235,2.4446797609329223,49.38
20260815-162434,full_s42_fixed_epochs5_pat2_measure,0,3,5,0.0001,0.5,1,5242,1.8147651354471843,71.46127432277757,2.1976051926612854,53.86
20260815-162434,full_s42_fixed_epochs5_pat2_measure,1,0,1,0.0001,0.5,2,1001,2.0424357652664185,59.09393737508328,2.120822620391846,59.42
20260815-162434,full_s42_fixed_epochs5_pat2_measure,1,0,2,0.0001,0.5,2,1001,1.917605459690094,64.89007328447701,2.0400522887706756,59.82
20260815-162434,full_s42_fixed_epochs5_pat2_measure,1,0,3,0.0001,0.5,2,1001,1.7072276771068573,72.08527648234511,2.0012417674064635,59.12
20260815-162434,full_s42_fixed_epochs5_pat2_measure,1,0,4,0.0001,0.5,2,1001,1.4873450696468353,78.08127914723518,2.0050955176353455,57.78
20260815-162434,full_s42_fixed_epochs5_pat2_measure,1,1,1,0.0001,0.5,2,1001,2.0051209628582,61.692205196535646,2.113323616981506,58.24
20260815-162434,full_s42_fixed_epochs5_pat2_measure,1,1,2,0.0001,0.5,2,1001,1.8689808249473572,66.08927381745502,2.038664126396179,58.56
20260815-162434,full_s42_fixed_epochs5_pat2_measure,1,1,3,0.0001,0.5,2,1001,1.677970826625824,70.15323117921386,1.9953420281410217,57.86
20260815-162434,full_s42_fixed_epochs5_pat2_measure,1,1,4,0.0001,0.5,2,1001,1.4984833598136902,76.68221185876082,1.9655856788158417,57.98
20260815-162434,full_s42_fixed_epochs5_pat2_measure,1,2,1,0.0001,0.5,2,1001,2.0391951203346252,62.22518321119254,2.131046199798584,59.88
20260815-162434,full_s42_fixed_epochs5_pat2_measure,1,2,2,0.0001,0.5,2,1001,1.8946555256843567,65.42305129913392,2.0890254616737365,58.48
20260815-162434,full_s42_fixed_epochs5_pat2_measure,1,2,3,0.0001,0.5,2,1001,1.6700721979141235,73.7508327781479,2.0617680072784426,56.7
