lambda,round,global_acc,forget_mean,aulc_running,beta_hat,accuracy_pp,forgetting_pp,aulc_pp,source_file,accuracy_rank,forgetting_rank,aulc_rank,stage0_alpha01_beta_hat
0.0,0,0.2352,0.0074999998323619,0.2352,,23.52,0.74999998323619,23.52,experiments/results/cifar100/lmss_geo/stage0_measurement/dirichlet_a01/seed42/fcl_run_summary_20260816-102722_full_s42_fixed_epochs5_pat2_dirichlet_a01_measure.csv,1.0,1.0,1.0,
0.25,0,0.2352,0.0074999998323619,0.2352,,23.52,0.74999998323619,23.52,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda025/seed42/fcl_run_summary_20260823-135927_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda025.csv,1.0,1.0,1.0,
0.5,0,0.2352,0.0074999998323619,0.2352,,23.52,0.74999998323619,23.52,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda050/seed42/fcl_run_summary_20260823-130753_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda050.csv,1.0,1.0,1.0,
0.75,0,0.2352,0.0074999998323619,0.2352,,23.52,0.74999998323619,23.52,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda075/seed42/fcl_run_summary_20260823-123041_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075.csv,1.0,1.0,1.0,
1.0,0,0.2352,0.0074999998323619,0.2352,,23.52,0.74999998323619,23.52,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda100/seed42/fcl_run_summary_20260823-114444_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda1.csv,1.0,1.0,1.0,
0.0,1,0.3532,0.0123000005260109,0.2942,0.7151993715904403,35.32,1.23000005260109,29.42,experiments/results/cifar100/lmss_geo/stage0_measurement/dirichlet_a01/seed42/fcl_run_summary_20260816-102722_full_s42_fixed_epochs5_pat2_dirichlet_a01_measure.csv,1.0,5.0,1.0,0.7151993715904403
0.25,1,0.348,0.0104000000283122,0.2915999999999999,0.7174262928508804,34.8,1.04000000283122,29.159999999999993,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda025/seed42/fcl_run_summary_20260823-135927_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda025.csv,2.0,3.0,2.0,0.7151993715904403
0.5,1,0.3417,0.009400000795722,0.28845,0.7197481410202254,34.17,0.9400000795722001,28.845,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda050/seed42/fcl_run_summary_20260823-130753_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda050.csv,3.0,2.0,3.0,0.7151993715904403
0.75,1,0.3336,0.0085000004619359,0.2844,0.722144764919644,33.36,0.8500000461935899,28.439999999999998,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda075/seed42/fcl_run_summary_20260823-123041_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075.csv,5.0,1.0,5.0,0.7151993715904403
1.0,1,0.3372,0.0105999996885657,0.2862,0.6935794519713143,33.72,1.05999996885657,28.62,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda100/seed42/fcl_run_summary_20260823-114444_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda1.csv,4.0,4.0,4.0,0.7151993715904403
0.0,2,0.422,0.0173000004142522,0.3368,0.6480959982932183,42.199999999999996,1.7300000414252201,33.68,experiments/results/cifar100/lmss_geo/stage0_measurement/dirichlet_a01/seed42/fcl_run_summary_20260816-102722_full_s42_fixed_epochs5_pat2_dirichlet_a01_measure.csv,1.0,5.0,1.0,0.6480959982932183
