kappa,round,best_lambda,best_lambda_numeric_mean,best_utility_pp,second_best_lambda,second_best_utility_pp,best_second_gap_pp,best_worst_spread_pp,best_second_gap_negligible,stage0_alpha01_beta_hat,utility_ranking_lambda_colon_utility_pp,interpretation
0.5,0,0|0.25|0.5|0.75|1,0.5,23.145000008381906,0.25,23.145000008381906,0.0,0.0,True,,0:23.145000;0.25:23.145000;0.5:23.145000;0.75:23.145000;1:23.145000,descriptive_cross_trajectory_preference
0.5,1,0,0.0,34.70499997369946,0.25,34.27999999858439,0.42499997511507104,1.7699999967962512,False,0.7151993715904403,0:34.705000;0.25:34.280000;0.5:33.700000;1:33.190000;0.75:32.935000,descriptive_cross_trajectory_preference
0.5,2,0,0.0,41.33499997928739,0.25,40.975000016465785,0.35999996282160396,2.3099999929964596,False,0.6480959982932183,0:41.335000;0.25:40.975000;0.5:40.260000;0.75:39.430000;1:39.025000,descriptive_cross_trajectory_preference
0.5,3,0,0.0,46.0049999640882,0.25,45.620000022947785,0.38499994114041414,2.050000027567144,False,0.6149790053437659,0:46.005000;0.25:45.620000;0.5:45.290000;0.75:44.475000;1:43.955000,descriptive_cross_trajectory_preference
0.5,4,0,0.0,47.08999994158744,0.25,46.960000093281266,0.12999984830617706,1.2649999359249975,False,0.6218104137157655,0:47.090000;0.25:46.960000;0.5:46.775000;0.75:46.000000;1:45.825000,descriptive_cross_trajectory_preference
0.5,5,0.25,0.25,48.29500011175871,0.5,48.1649999588728,0.1300001528859127,0.5300001986324716,False,0.6318159652144473,0.25:48.295000;0.5:48.165000;0:48.090000;0.75:47.965000;1:47.765000,descriptive_cross_trajectory_preference
0.5,6,0,0.0,50.90499995946885,0.25,50.86499994188548,0.040000017583373904,1.5949998421967209,True,0.6373776375991671,0:50.905000;0.25:50.865000;0.5:50.795000;0.75:50.490000;1:49.310000,descriptive_cross_trajectory_preference
1.0,0,0|0.25|0.5|0.75|1,0.5,22.77000001676381,0.25,22.77000001676381,0.0,0.0,True,,0:22.770000;0.25:22.770000;0.5:22.770000;0.75:22.770000;1:22.770000,descriptive_cross_trajectory_preference
1.0,1,0,0.0,34.08999994739891,0.25,33.75999999716878,0.32999995023013184,1.5799999935925015,False,0.7151993715904403,0:34.090000;0.25:33.760000;0.5:33.230000;1:32.660000;0.75:32.510000,descriptive_cross_trajectory_preference
1.0,2,0,0.0,40.469999958574775,0.25,40.280000032931575,0.18999992564319967,2.0399999859929068,False,0.6480959982932183,0:40.470000;0.25:40.280000;0.5:39.670000;0.75:38.970000;1:38.430000,descriptive_cross_trajectory_preference
1.0,3,0,0.0,44.81999992817641,0.25,44.51000004589558,0.3099998822808274,1.6500000551342922,False,0.6149790053437659,0:44.820000;0.25:44.510000;0.5:44.360000;0.75:43.690000;1:43.170000,descriptive_cross_trajectory_preference
1.0,4,0|0.25,0.125,45.370000186562535,0,45.3699998831749,3.033876367908306e-07,0.6500001218914946,True,0.6218104137157655,0.25:45.370000;0:45.370000;0.5:45.360000;1:44.780000;0.75:44.720000,descriptive_cross_trajectory_preference
1.0,5,1,1.0,46.60999982625247,0.75,46.46000008404255,0.1499997422099213,0.6100001761317273,False,0.6318159652144473,1:46.610000;0.75:46.460000;0.25:46.420000;0.5:46.380000;0:46.000000,descriptive_cross_trajectory_preference
1.0,6,0.5,0.5,49.0999999845028,0.25,49.08999988377095,0.010000100731851091,1.1199997499585308,True,0.6373776375991671,0.5:49.100000;0.25:49.090000;0.75:49.020000;0:49.010000;1:47.980000,descriptive_cross_trajectory_preference
