lambda,round,accuracy,forgetting,aulc,divergence,beta_hat,rho_hat,subspace_rank,measurement_overhead_seconds,source_file
0.0,0,0.2352,0.0074999998323619,0.2352,0.0345379572914484,,,0,10.57871841399924,experiments/results/cifar100/lmss_geo/stage0_measurement/dirichlet_a01/seed42/fcl_run_summary_20260816-102722_full_s42_fixed_epochs5_pat2_dirichlet_a01_measure.csv
0.0,1,0.3532,0.0123000005260109,0.2942,0.207944923160498,0.7151993715904403,0.5336671513308258,64,53.61946348699962,experiments/results/cifar100/lmss_geo/stage0_measurement/dirichlet_a01/seed42/fcl_run_summary_20260816-102722_full_s42_fixed_epochs5_pat2_dirichlet_a01_measure.csv
0.0,2,0.422,0.0173000004142522,0.3368,0.0893443411649137,0.6480959982932183,0.5932149709058095,64,53.42185003700047,experiments/results/cifar100/lmss_geo/stage0_measurement/dirichlet_a01/seed42/fcl_run_summary_20260816-102722_full_s42_fixed_epochs5_pat2_dirichlet_a01_measure.csv
0.0,3,0.4719,0.0237000007182359,0.370575,0.0724299951583386,0.6149790053437659,0.6205006000450223,64,53.23120152199908,experiments/results/cifar100/lmss_geo/stage0_measurement/dirichlet_a01/seed42/fcl_run_summary_20260816-102722_full_s42_fixed_epochs5_pat2_dirichlet_a01_measure.csv
0.0,4,0.4881,0.034400001168251,0.39408,0.0762571898524371,0.6218104137157655,0.6149712076871837,64,53.39729219799938,experiments/results/cifar100/lmss_geo/stage0_measurement/dirichlet_a01/seed42/fcl_run_summary_20260816-102722_full_s42_fixed_epochs5_pat2_dirichlet_a01_measure.csv
0.0,5,0.5018,0.0418000034987926,0.4120333333333333,0.0776796110013066,0.6318159652144473,0.6067817027445301,64,56.09684489700203,experiments/results/cifar100/lmss_geo/stage0_measurement/dirichlet_a01/seed42/fcl_run_summary_20260816-102722_full_s42_fixed_epochs5_pat2_dirichlet_a01_measure.csv
0.0,6,0.528,0.0379000008106231,0.4286,0.0767620785875517,0.6373776375991671,0.6021813368087985,64,57.82675619600059,experiments/results/cifar100/lmss_geo/stage0_measurement/dirichlet_a01/seed42/fcl_run_summary_20260816-102722_full_s42_fixed_epochs5_pat2_dirichlet_a01_measure.csv
0.25,0,0.2352,0.0074999998323619,0.2352,0.0345379572914484,,,0,10.278645925000092,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda025/seed42/fcl_run_summary_20260823-135927_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda025.csv
0.25,1,0.348,0.0104000000283122,0.2915999999999999,0.2094774316298596,0.7174262928508804,0.5315766239679077,64,52.82154645199989,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda025/seed42/fcl_run_summary_20260823-135927_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda025.csv
0.25,2,0.4167,0.0138999996706843,0.3333,0.0909828492159619,0.651049011319955,0.5907207366260675,64,52.8150229010007,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda025/seed42/fcl_run_summary_20260823-135927_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda025.csv
0.25,3,0.4673,0.0221999995410442,0.3668,0.074435992198139,0.6166756206413356,0.6191319563377933,64,52.8321253139984,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda025/seed42/fcl_run_summary_20260823-135927_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda025.csv
0.25,4,0.4855,0.0317999981343746,0.39054,0.0782355584447033,0.6225560609125634,0.6143646629546944,64,52.69805918400198,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda025/seed42/fcl_run_summary_20260823-135927_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda025.csv
0.25,5,0.5017,0.0374999977648258,0.4090666666666667,0.0796707821668274,0.6315586254148268,0.606993718736176,64,52.81991085799564,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda025/seed42/fcl_run_summary_20260823-135927_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda025.csv
0.25,6,0.5264,0.0355000011622905,0.4258285714285715,0.0787864338938399,0.6356281465653474,0.6036322170284247,64,52.843176372003654,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda025/seed42/fcl_run_summary_20260823-135927_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda025.csv
0.5,0,0.2352,0.0074999998323619,0.2352,0.0345379572914484,,,0,10.412823890001164,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda050/seed42/fcl_run_summary_20260823-130753_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda050.csv
0.5,1,0.3417,0.009400000795722,0.28845,0.2110474568085485,0.7197481410202254,0.5293881930868627,64,52.65415652100455,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda050/seed42/fcl_run_summary_20260823-130753_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda050.csv
0.5,2,0.4085,0.0118000004440546,0.3284666666666666,0.0928358491449622,0.6542056750083155,0.5880427918031844,64,52.871941671995955,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda050/seed42/fcl_run_summary_20260823-130753_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda050.csv
0.5,3,0.4622,0.0186000019311904,0.3618999999999999,0.0768093752762196,0.6188861240097032,0.6173442119193275,64,52.7883463079952,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda050/seed42/fcl_run_summary_20260823-130753_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda050.csv
