run_id,tag,round,client,epoch,lr,replay_ratio,cl_batch,cl_batch_size,train_loss,train_acc,val_loss,val_acc
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0,0,1,0.0001,0.5,1,5433,3.5115894187580454,30.208203465902006,4.627517056465149,11.3
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0,0,2,0.0001,0.5,1,5433,2.06135476177389,58.73113265431341,4.767161011695862,19.04
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0,0,3,0.0001,0.5,1,5433,1.3724700971083208,73.65320898269727,4.768367028236389,22.06
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0,0,4,0.0001,0.5,1,5433,0.9508469131859866,81.56829058780218,4.670736980438233,24.04
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0,0,5,0.0001,0.5,1,5433,0.694920688867569,87.86354153883912,4.711167216300964,25.24
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0,1,1,0.0001,0.5,1,6525,3.38215251152332,37.467646754322395,4.584739017486572,17.7
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0,1,2,0.0001,0.5,1,6525,1.9157472161146312,64.26892817002145,4.588100838661194,22.78
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0,1,3,0.0001,0.5,1,6525,1.265517840018639,76.0702973331971,4.459839344024658,25.18
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0,1,4,0.0001,0.5,1,6525,0.9268278640050155,81.96587309696537,4.444673657417297,27.18
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0,1,5,0.0001,0.5,1,6525,0.6619430000965412,87.534484520282,4.378752851486206,28.56
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0,2,1,0.0001,0.5,1,3720,3.6562918504079183,38.59134262655906,4.5646895408630375,11.04
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0,2,2,0.0001,0.5,1,3720,2.1037123441696166,64.6236559139785,5.047492718696594,12.7
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0,2,3,0.0001,0.5,1,3720,1.3707010746002197,72.67025089605735,5.041607165336609,14.56
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0,2,4,0.0001,0.5,1,3720,1.0143049756685893,79.69534050179212,4.957980108261109,17.22
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0,2,5,0.0001,0.5,1,3720,0.76123552719752,87.31182795698925,5.0882621049880985,18.86
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0,3,1,0.0001,0.5,1,5292,3.469391016733079,35.18565941101152,4.601365256309509,14.84
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0,3,2,0.0001,0.5,1,5292,1.8663484652837117,66.28873771730915,4.8346254348754885,18.88
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0,3,3,0.0001,0.5,1,5292,1.1322242816289265,79.83119173595364,4.841627192497254,21.02
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0,3,4,0.0001,0.5,1,5292,0.7681578880264646,86.68430335097001,4.790235805511474,23.86
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0,3,5,0.0001,0.5,1,5292,0.5391870226178851,91.38321995464852,4.862584781646729,24.5
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,1,0,1,0.0001,0.5,2,1037,3.3345524787902834,27.909967845659164,3.698632061481476,23.66
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,1,0,2,0.0001,0.5,2,1037,2.7325255393981935,50.032154340836016,3.5814738035202027,23.44
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,1,1,1,0.0001,0.5,2,1246,3.4236334800720214,26.80577849117175,3.713133251667023,24.84
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,1,1,2,0.0001,0.5,2,1246,2.708617925643921,53.71856607811664,3.535633397102356,27.12
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,1,2,1,0.0001,0.5,2,710,3.44905153910319,22.253521126760564,3.786039936542511,21.74
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,1,2,2,0.0001,0.5,2,710,3.0153985023498535,40.28169014084507,3.7097757935523985,22.66
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,1,2,3,0.0001,0.5,2,710,2.417685111363729,70.61032863849765,3.671853768825531,20.82
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,1,2,4,0.0001,0.5,2,710,1.9168957074483235,80.65727699530517,3.7082427620887755,18.72
20260823-184507,full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,1,3,1,0.0001,0.5,2,1010,3.3421517610549927,29.372937293729372,3.788930070400238,23.9
