run_id,client,cl_batch,size
20251226-123512,0,1,5242
20251226-123512,0,2,1001
20251226-123512,0,3,1001
20251226-123512,0,4,1001
20251226-123512,0,5,1001
20251226-123512,0,6,1001
20251226-123512,0,7,1003
20251226-123512,1,1,5242
20251226-123512,1,2,1001
20251226-123512,1,3,1001
20251226-123512,1,4,1001
20251226-123512,1,5,1001
20251226-123512,1,6,1001
20251226-123512,1,7,1003
20251226-123512,2,1,5242
20251226-123512,2,2,1001
20251226-123512,2,3,1001
20251226-123512,2,4,1001
20251226-123512,2,5,1001
20251226-123512,2,6,1001
20251226-123512,2,7,1003
20251226-123512,3,1,5242
20251226-123512,3,2,1001
20251226-123512,3,3,1001
20251226-123512,3,4,1001
20251226-123512,3,5,1001
20251226-123512,3,6,1001
20251226-123512,3,7,1003
