run_id,client,cl_batch,size
20260223-124101,0,1,5242
20260223-124101,0,2,1001
20260223-124101,0,3,1001
20260223-124101,0,4,1001
20260223-124101,0,5,1001
20260223-124101,0,6,1001
20260223-124101,0,7,1003
20260223-124101,1,1,5242
20260223-124101,1,2,1001
20260223-124101,1,3,1001
20260223-124101,1,4,1001
20260223-124101,1,5,1001
20260223-124101,1,6,1001
20260223-124101,1,7,1003
20260223-124101,2,1,5242
20260223-124101,2,2,1001
20260223-124101,2,3,1001
20260223-124101,2,4,1001
20260223-124101,2,5,1001
20260223-124101,2,6,1001
20260223-124101,2,7,1003
20260223-124101,3,1,5242
20260223-124101,3,2,1001
20260223-124101,3,3,1001
20260223-124101,3,4,1001
20260223-124101,3,5,1001
20260223-124101,3,6,1001
20260223-124101,3,7,1003
