run_id,tag,round,client,epoch,lr,replay_ratio,cl_batch,cl_batch_size,train_loss,train_acc,val_loss,val_acc
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,0,0,1,0.0001,0.5,1,5242,4.26068697656904,14.64770523594053,3.962394285202026,20.42
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,0,0,2,0.0001,0.5,1,5242,3.466306833993821,40.01017423375302,3.2884982347488405,33.06
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,0,0,3,0.0001,0.5,1,5242,2.809317554746355,54.47030395523337,2.7811779975891113,43.44
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,0,0,4,0.0001,0.5,1,5242,2.26576981090364,63.63983212514307,2.4905215382575987,48.86
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,0,0,5,0.0001,0.5,1,5242,1.8217894974209012,71.6011700368816,2.278848946094513,52.84
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,0,1,1,0.0001,0.5,1,5242,4.246723833538237,14.621848739495798,3.9558021664619445,18.8
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,0,1,2,0.0001,0.5,1,5242,3.4631494340442477,38.20424774259189,3.2522905349731444,34.12
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,0,1,3,0.0001,0.5,1,5242,2.808055117016747,53.02047564542795,2.795424926280975,43.54
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,0,1,4,0.0001,0.5,1,5242,2.244203033901396,63.55080757980414,2.4652965903282165,50.16
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,0,1,5,0.0001,0.5,1,5242,1.8261164256504603,71.11789393361312,2.2182541131973266,54.6
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,0,2,1,0.0001,0.5,1,5242,4.267067682175409,14.544279250161603,3.9776766300201416,17.92
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,0,2,2,0.0001,0.5,1,5242,3.475394021897089,38.62393488490398,3.246743154525757,34.14
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,0,2,3,0.0001,0.5,1,5242,2.8183814457484653,51.78684980287422,2.7932655930519106,42.46
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,0,2,4,0.0001,0.5,1,5242,2.2712443329039074,63.01666030777057,2.4606549382209777,48.84
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,0,2,5,0.0001,0.5,1,5242,1.8495835009075345,71.27050743990843,2.240938663482666,53.54
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,0,3,1,0.0001,0.5,1,5242,4.25418868519011,15.940530058177117,4.000377714633942,20.88
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,0,3,2,0.0001,0.5,1,5242,3.4762402716137113,39.32341345542414,3.219897520542145,35.32
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,0,3,3,0.0001,0.5,1,5242,2.8244095870426724,54.75009538344143,2.754129409790039,44.42
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,0,3,4,0.0001,0.5,1,5242,2.28299195425851,62.62240874984103,2.4649055004119873,50.06
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,0,3,5,0.0001,0.5,1,5242,1.819693610781715,71.96998601042858,2.22289354801178,54.1
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,1,0,1,0.00015,0.7,2,1001,1.981600135564804,63.962375073486186,2.1769434571266175,57.22
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,1,0,2,0.00015,0.7,2,1001,1.7858442664146423,68.95943562610229,2.0861505806446075,57.36
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,1,0,3,0.00015,0.7,2,1001,1.5453785955905914,77.77777777777777,2.056286072731018,56.54
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,1,0,4,0.00015,0.7,2,1001,1.2981791496276855,82.77483833039389,2.0509718358516693,55.66
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,1,1,1,0.00015,0.7,2,1001,2.0252133905887604,61.61081716637272,2.1576204538345336,56.98
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,1,1,2,0.00015,0.7,2,1001,1.8527619242668152,67.43092298647854,2.1020830154418944,56.68
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,1,1,3,0.00015,0.7,2,1001,1.5796461999416351,74.30922986478542,2.04562486410141,55.98
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,1,2,1,0.00015,0.7,2,1001,1.982439249753952,63.0217519106408,2.139601522684097,58.12
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,1,2,2,0.00015,0.7,2,1001,1.796359896659851,67.48971193415638,2.0607270002365112,56.1
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,1,2,3,0.00015,0.7,2,1001,1.5793630480766296,72.54556143445032,2.0285489678382875,55.58
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,1,3,1,0.00015,0.7,2,1001,1.9802317917346954,64.66784244562022,2.147931706905365,57.6
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,1,3,2,0.00015,0.7,2,1001,1.7975482046604156,68.54791299235744,2.1256197512149813,55.4
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,1,3,3,0.00015,0.7,2,1001,1.5642837882041931,75.36743092298647,2.110471284389496,53.34
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,2,0,1,0.00015,0.7,3,1001,1.6963591277599335,67.07818930041152,1.88613760471344,61.3
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,2,0,2,0.00015,0.7,3,1001,1.5581954717636108,70.01763668430335,1.8780801177024842,59.76
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,2,0,3,0.00015,0.7,3,1001,1.3301334083080292,78.54203409758965,1.89223815202713,58.48
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,2,1,1,0.00015,0.7,3,1001,1.7383650243282318,65.2557319223986,1.8637141764163971,59.74
