run_id,client,cl_batch,size
20260322-162045,0,1,5242
20260322-162045,0,2,1001
20260322-162045,0,3,1001
20260322-162045,0,4,1001
20260322-162045,0,5,1001
20260322-162045,0,6,1001
20260322-162045,0,7,1003
20260322-162045,1,1,5242
20260322-162045,1,2,1001
20260322-162045,1,3,1001
20260322-162045,1,4,1001
20260322-162045,1,5,1001
20260322-162045,1,6,1001
20260322-162045,1,7,1003
20260322-162045,2,1,5242
20260322-162045,2,2,1001
20260322-162045,2,3,1001
20260322-162045,2,4,1001
20260322-162045,2,5,1001
20260322-162045,2,6,1001
20260322-162045,2,7,1003
20260322-162045,3,1,5242
20260322-162045,3,2,1001
20260322-162045,3,3,1001
20260322-162045,3,4,1001
20260322-162045,3,5,1001
20260322-162045,3,6,1001
20260322-162045,3,7,1003
