run_id,client,cl_batch,size
20251226-131852,0,1,5242
20251226-131852,0,2,1001
20251226-131852,0,3,1001
20251226-131852,0,4,1001
20251226-131852,0,5,1001
20251226-131852,0,6,1001
20251226-131852,0,7,1003
20251226-131852,1,1,5242
20251226-131852,1,2,1001
20251226-131852,1,3,1001
20251226-131852,1,4,1001
20251226-131852,1,5,1001
20251226-131852,1,6,1001
20251226-131852,1,7,1003
20251226-131852,2,1,5242
20251226-131852,2,2,1001
20251226-131852,2,3,1001
20251226-131852,2,4,1001
20251226-131852,2,5,1001
20251226-131852,2,6,1001
20251226-131852,2,7,1003
20251226-131852,3,1,5242
20251226-131852,3,2,1001
20251226-131852,3,3,1001
20251226-131852,3,4,1001
20251226-131852,3,5,1001
20251226-131852,3,6,1001
20251226-131852,3,7,1003
