run_id,tag,round,client,epoch,lr,replay_ratio,cl_batch,cl_batch_size,train_loss,train_acc,val_loss,val_acc
20251120-202414,teacher_cifar100_v4_s43,0,0,1,0.00012,0.5,1,5242,3.9443317027319047,19.03038138332256,3.4689374566078186,24.68
20251120-202414,teacher_cifar100_v4_s43,0,0,2,0.00012,0.5,1,5242,2.688827185403733,50.7058374666158,2.611292827129364,42.22
20251120-202414,teacher_cifar100_v4_s43,0,0,3,0.00012,0.5,1,5242,1.9001236643110002,69.01945822205265,2.182201051712036,51.9
20251120-202414,teacher_cifar100_v4_s43,0,0,4,0.00012,0.5,1,5242,1.3732787597747076,79.21912755945567,1.9758240461349488,55.66
20251120-202414,teacher_cifar100_v4_s43,0,0,5,0.00012,0.5,1,5242,0.976619039263044,87.05328754928145,1.8312419295310973,58.2
20251120-202414,teacher_cifar100_v4_s43,0,0,6,0.00012,0.5,1,5242,0.7111651443299793,91.19928780363729,1.6552183747291564,60.96
20251120-202414,teacher_cifar100_v4_s43,0,0,7,0.00012,0.5,1,5242,0.5000750195412409,95.21811013608037,1.6102208495140076,61.5
20251120-202414,teacher_cifar100_v4_s43,0,0,8,0.00012,0.5,1,5242,0.340312503633045,97.59633727584891,1.5251036584377289,62.14
20251120-202414,teacher_cifar100_v4_s43,0,0,9,0.00012,0.5,1,5242,0.23238479594389597,98.91898766374158,1.5040397644042969,62.96
20251120-202414,teacher_cifar100_v4_s43,0,0,10,0.00012,0.5,1,5242,0.15814395745595297,99.50400610454025,1.48547483086586,63.06
20251120-202414,teacher_cifar100_v4_s43,0,0,11,0.00012,0.5,1,5242,0.11420667242436182,99.64390181864428,1.4630843162536622,62.62
20251120-202414,teacher_cifar100_v4_s43,0,0,12,0.00012,0.5,1,5242,0.08293490644012179,99.92369324685235,1.4522371768951416,62.96
20251120-202414,teacher_cifar100_v4_s43,0,0,13,0.00012,0.5,1,5242,0.06291562868725686,99.88553987027852,1.451483380794525,63.32
20251120-202414,teacher_cifar100_v4_s43,0,0,14,0.00012,0.5,1,5242,0.04785188766462462,99.97456441561745,1.4268611252307892,63.54
20251120-202414,teacher_cifar100_v4_s43,0,0,15,0.00012,0.5,1,5242,0.03861122383248238,99.96184662342617,1.4271533489227295,64.16
20251120-202414,teacher_cifar100_v4_s43,0,0,16,0.00012,0.5,1,5242,0.03117034300452187,100.0,1.4158903121948243,64.68
20251120-202414,teacher_cifar100_v4_s43,0,0,17,0.00012,0.5,1,5242,0.02581058291807061,100.0,1.4301050364971162,63.52
20251120-202414,teacher_cifar100_v4_s43,0,0,18,0.00012,0.5,1,5242,0.022412031888961792,100.0,1.4232657849788666,63.58
20251120-202414,teacher_cifar100_v4_s43,0,0,19,0.00012,0.5,1,5242,0.019697527356800578,100.0,1.4107370018959045,63.84
20251120-202414,teacher_cifar100_v4_s43,0,0,20,0.00012,0.5,1,5242,0.016929959833976767,100.0,1.416019195318222,63.92
20251120-202414,teacher_cifar100_v4_s43,0,1,1,0.00012,0.5,1,5242,3.985707305726551,17.556561085972852,3.5479019045829774,23.68
20251120-202414,teacher_cifar100_v4_s43,0,1,2,0.00012,0.5,1,5242,2.6911470208849226,50.79486201195473,2.6069684624671936,44.26
20251120-202414,teacher_cifar100_v4_s43,0,1,3,0.00012,0.5,1,5242,1.9034332150504703,68.59977107974056,2.152755057811737,52.28
20251120-202414,teacher_cifar100_v4_s43,0,1,4,0.00012,0.5,1,5242,1.3486377000808716,79.09194963754292,1.9641449749469757,55.76
20251120-202414,teacher_cifar100_v4_s43,0,1,5,0.00012,0.5,1,5242,0.9751129093624297,86.30293780999618,1.8049180626869201,59.26
20251120-202414,teacher_cifar100_v4_s43,0,1,6,0.00012,0.5,1,5242,0.692499163604918,91.83517741320107,1.6767289817333222,61.16
20251120-202414,teacher_cifar100_v4_s43,0,1,7,0.00012,0.5,1,5242,0.49229358491443453,95.61236169400992,1.582428514957428,61.96
20251120-202414,teacher_cifar100_v4_s43,0,1,8,0.00012,0.5,1,5242,0.3320905566215515,97.63449065242274,1.5371969044208527,62.26
20251120-202414,teacher_cifar100_v4_s43,0,1,9,0.00012,0.5,1,5242,0.22776877525306882,98.89355207935903,1.4897349953651429,63.34
20251120-202414,teacher_cifar100_v4_s43,0,1,10,0.00012,0.5,1,5242,0.15763368705908457,99.59303064987918,1.4632185041904449,63.36
20251120-202414,teacher_cifar100_v4_s43,0,1,11,0.00012,0.5,1,5242,0.10944935963267372,99.73292636398321,1.4386906981468202,63.36
20251120-202414,teacher_cifar100_v4_s43,0,1,12,0.00012,0.5,1,5242,0.08132088822977883,99.78379753274831,1.4438434481620788,63.42
20251120-202414,teacher_cifar100_v4_s43,0,1,13,0.00012,0.5,1,5242,0.06080563898597445,99.93641103904362,1.4094697415828705,64.28
20251120-202414,teacher_cifar100_v4_s43,0,1,14,0.00012,0.5,1,5242,0.04601569970448812,99.97456441561745,1.411907809972763,64.5
20251120-202414,teacher_cifar100_v4_s43,0,1,15,0.00012,0.5,1,5242,0.03677766025066376,100.0,1.415243798494339,63.68
20251120-202414,teacher_cifar100_v4_s43,0,1,16,0.00012,0.5,1,5242,0.030657030996822175,99.96184662342617,1.406701683998108,63.66
20251120-202414,teacher_cifar100_v4_s43,0,1,17,0.00012,0.5,1,5242,0.025557769639861016,100.0,1.40763458609581,63.78
20251120-202414,teacher_cifar100_v4_s43,0,1,18,0.00012,0.5,1,5242,0.02188922997031893,100.0,1.4026694476604462,63.78
20251120-202414,teacher_cifar100_v4_s43,0,1,19,0.00012,0.5,1,5242,0.019107016069548472,100.0,1.4068653225898742,64.16
20251120-202414,teacher_cifar100_v4_s43,0,2,1,0.00012,0.5,1,5242,3.9729618912651423,18.43568196509373,3.4602508544921875,23.8
20251120-202414,teacher_cifar100_v4_s43,0,2,2,0.00012,0.5,1,5242,2.683188586007981,50.56594175251176,2.5634194731712343,42.92
20251120-202414,teacher_cifar100_v4_s43,0,2,3,0.00012,0.5,1,5242,1.8841515609196253,67.92572809360296,2.164030110836029,51.4
20251120-202414,teacher_cifar100_v4_s43,0,2,4,0.00012,0.5,1,5242,1.354724713734218,78.88846496248252,1.9709591031074525,56.4
20251120-202414,teacher_cifar100_v4_s43,0,2,5,0.00012,0.5,1,5242,0.9799861936342149,86.30293780999618,1.7563337087631226,59.86
20251120-202414,teacher_cifar100_v4_s43,0,2,6,0.00012,0.5,1,5242,0.6899521577925909,92.05137988045276,1.6738673865795135,60.1
20251120-202414,teacher_cifar100_v4_s43,0,2,7,0.00012,0.5,1,5242,0.4747381678649357,95.7776929924965,1.5779608368873597,61.42
20251120-202414,teacher_cifar100_v4_s43,0,2,8,0.00012,0.5,1,5242,0.3233800686541058,98.13048454788249,1.5294879376888275,62.34
