run_id,client,cl_batch,size
20251120-080254,0,1,5242
20251120-080254,0,2,1001
20251120-080254,0,3,1001
20251120-080254,0,4,1001
20251120-080254,0,5,1001
20251120-080254,0,6,1001
20251120-080254,0,7,1003
20251120-080254,1,1,5242
20251120-080254,1,2,1001
20251120-080254,1,3,1001
20251120-080254,1,4,1001
20251120-080254,1,5,1001
20251120-080254,1,6,1001
20251120-080254,1,7,1003
20251120-080254,2,1,5242
20251120-080254,2,2,1001
20251120-080254,2,3,1001
20251120-080254,2,4,1001
20251120-080254,2,5,1001
20251120-080254,2,6,1001
20251120-080254,2,7,1003
20251120-080254,3,1,5242
20251120-080254,3,2,1001
20251120-080254,3,3,1001
20251120-080254,3,4,1001
20251120-080254,3,5,1001
20251120-080254,3,6,1001
20251120-080254,3,7,1003
