run_id,client,cl_batch,size
20251223-151207,0,1,5242
20251223-151207,0,2,1001
20251223-151207,0,3,1001
20251223-151207,0,4,1001
20251223-151207,0,5,1001
20251223-151207,0,6,1001
20251223-151207,0,7,1003
20251223-151207,1,1,5242
20251223-151207,1,2,1001
20251223-151207,1,3,1001
20251223-151207,1,4,1001
20251223-151207,1,5,1001
20251223-151207,1,6,1001
20251223-151207,1,7,1003
20251223-151207,2,1,5242
20251223-151207,2,2,1001
20251223-151207,2,3,1001
20251223-151207,2,4,1001
20251223-151207,2,5,1001
20251223-151207,2,6,1001
20251223-151207,2,7,1003
20251223-151207,3,1,5242
20251223-151207,3,2,1001
20251223-151207,3,3,1001
20251223-151207,3,4,1001
20251223-151207,3,5,1001
20251223-151207,3,6,1001
20251223-151207,3,7,1003
