run_id,client,cl_batch,size
20251223-171946,0,1,5242
20251223-171946,0,2,1001
20251223-171946,0,3,1001
20251223-171946,0,4,1001
20251223-171946,0,5,1001
20251223-171946,0,6,1001
20251223-171946,0,7,1003
20251223-171946,1,1,5242
20251223-171946,1,2,1001
20251223-171946,1,3,1001
20251223-171946,1,4,1001
20251223-171946,1,5,1001
20251223-171946,1,6,1001
20251223-171946,1,7,1003
20251223-171946,2,1,5242
20251223-171946,2,2,1001
20251223-171946,2,3,1001
20251223-171946,2,4,1001
20251223-171946,2,5,1001
20251223-171946,2,6,1001
20251223-171946,2,7,1003
20251223-171946,3,1,5242
20251223-171946,3,2,1001
20251223-171946,3,3,1001
20251223-171946,3,4,1001
20251223-171946,3,5,1001
20251223-171946,3,6,1001
20251223-171946,3,7,1003
