run_id,client,cl_batch,size
20251014-181742,0,1,5242
20251014-181742,0,2,1001
20251014-181742,0,3,1001
20251014-181742,0,4,1001
20251014-181742,0,5,1001
20251014-181742,0,6,1001
20251014-181742,0,7,1003
20251014-181742,1,1,5242
20251014-181742,1,2,1001
20251014-181742,1,3,1001
20251014-181742,1,4,1001
20251014-181742,1,5,1001
20251014-181742,1,6,1001
20251014-181742,1,7,1003
20251014-181742,2,1,5242
20251014-181742,2,2,1001
20251014-181742,2,3,1001
20251014-181742,2,4,1001
20251014-181742,2,5,1001
20251014-181742,2,6,1001
20251014-181742,2,7,1003
20251014-181742,3,1,5242
20251014-181742,3,2,1001
20251014-181742,3,3,1001
20251014-181742,3,4,1001
20251014-181742,3,5,1001
20251014-181742,3,6,1001
20251014-181742,3,7,1003
