run_id,client,cl_batch,size
20251015-122621,0,1,5242
20251015-122621,0,2,1001
20251015-122621,0,3,1001
20251015-122621,0,4,1001
20251015-122621,0,5,1001
20251015-122621,0,6,1001
20251015-122621,0,7,1003
20251015-122621,1,1,5242
20251015-122621,1,2,1001
20251015-122621,1,3,1001
20251015-122621,1,4,1001
20251015-122621,1,5,1001
20251015-122621,1,6,1001
20251015-122621,1,7,1003
20251015-122621,2,1,5242
20251015-122621,2,2,1001
20251015-122621,2,3,1001
20251015-122621,2,4,1001
20251015-122621,2,5,1001
20251015-122621,2,6,1001
20251015-122621,2,7,1003
20251015-122621,3,1,5242
20251015-122621,3,2,1001
20251015-122621,3,3,1001
20251015-122621,3,4,1001
20251015-122621,3,5,1001
20251015-122621,3,6,1001
20251015-122621,3,7,1003
