round,client,epoch,train_loss,train_acc,val_loss,val_acc
0,0,1,4.2758,14.13,3.9399,21.62
0,0,2,3.4589,40.09,3.2047,34.0
0,0,3,2.8077,52.68,2.8103,44.1
0,0,4,2.2904,63.78,2.4839,51.3
0,0,5,1.8581,72.67,2.1938,54.98
0,0,6,1.4746,79.72,2.0668,57.48
0,0,7,1.1538,85.23,1.8657,59.78
0,0,8,0.8864,90.33,1.7825,60.78
0,0,9,0.6865,93.48,1.6868,62.1
0,0,10,0.5013,96.45,1.6489,62.38
0,0,11,0.3624,98.14,1.616,62.4
0,0,12,0.2689,98.83,1.5326,64.04
0,0,13,0.2004,99.28,1.5478,63.56
0,0,14,0.1451,99.68,1.4956,63.8
0,0,15,0.1099,99.91,1.4839,64.16
0,0,16,0.0838,99.94,1.5004,64.22
0,0,17,0.0632,100.0,1.4528,64.64
0,0,18,0.0514,99.99,1.4613,64.52
0,0,19,0.0429,99.99,1.4575,64.26
0,0,20,0.0363,100.0,1.4553,64.32
0,1,1,4.2697,15.09,3.9352,22.24
0,1,2,3.4503,40.15,3.2519,34.28
0,1,3,2.8038,52.3,2.7823,43.18
0,1,4,2.2587,63.25,2.4458,49.58
0,1,5,1.8142,71.82,2.2106,53.72
0,1,6,1.4412,79.69,2.0113,58.56
0,1,7,1.1364,84.88,1.8996,59.94
0,1,8,0.8808,89.55,1.7718,62.0
0,1,9,0.6719,93.44,1.6839,61.86
0,1,10,0.5041,95.68,1.603,62.84
0,1,11,0.3808,97.65,1.5843,63.4
0,1,12,0.2724,98.84,1.5531,63.82
0,1,13,0.1925,99.48,1.5146,64.02
0,1,14,0.1482,99.61,1.5115,63.5
0,1,15,0.1093,99.8,1.4912,64.34
0,1,16,0.0816,99.95,1.4768,64.62
0,1,17,0.0652,100.0,1.4622,64.94
0,1,18,0.0527,99.97,1.4741,64.36
0,1,19,0.0445,100.0,1.4534,64.62
0,1,20,0.037,99.99,1.4545,64.56
0,2,1,4.2688,15.91,3.9368,19.82
0,2,2,3.489,37.59,3.2521,35.12
0,2,3,2.8471,51.94,2.7748,43.96
0,2,4,2.2954,62.46,2.4263,51.18
0,2,5,1.8698,71.35,2.211,55.6
0,2,6,1.477,79.03,2.0371,57.8
0,2,7,1.1724,85.37,1.8645,60.7
0,2,8,0.9074,89.76,1.7765,62.66
0,2,9,0.6943,93.23,1.6861,62.74
0,2,10,0.5103,96.4,1.5662,64.68
0,2,11,0.376,97.7,1.5671,64.48
0,2,12,0.2703,99.02,1.5184,63.84
0,2,13,0.1953,99.62,1.4886,64.92
0,2,14,0.1499,99.68,1.4751,64.82
0,2,15,0.1088,99.86,1.4572,65.36
0,2,16,0.0833,99.95,1.4418,64.92
0,2,17,0.0649,99.94,1.4405,65.12
0,2,18,0.0532,99.96,1.4249,65.06
0,2,19,0.0433,100.0,1.4203,65.56
0,2,20,0.037,100.0,1.4312,65.1
0,3,1,4.2554,14.29,3.9756,19.22
0,3,2,3.4309,38.4,3.2453,31.48
0,3,3,2.7736,50.59,2.7636,42.48
0,3,4,2.2366,62.86,2.4565,49.32
0,3,5,1.789,71.07,2.2197,53.88
0,3,6,1.4264,78.98,2.0365,57.82
0,3,7,1.1235,85.08,1.8878,59.7
0,3,8,0.8761,89.81,1.783,60.62
0,3,9,0.6645,93.21,1.7171,61.7
0,3,10,0.5001,96.15,1.6395,62.34
0,3,11,0.3666,97.88,1.5796,63.68
0,3,12,0.2659,98.77,1.5537,63.3
0,3,13,0.1879,99.44,1.5261,63.7
0,3,14,0.141,99.73,1.5077,63.64
0,3,15,0.1067,99.9,1.5022,64.26
0,3,16,0.0825,99.94,1.4918,63.56
0,3,17,0.0635,99.95,1.4771,64.32
0,3,18,0.0516,99.95,1.4753,64.1
0,3,19,0.0443,99.95,1.4592,64.58
0,3,20,0.0362,99.97,1.4577,64.42
1,0,1,1.0598,72.88,1.2481,68.3
1,0,2,0.714,85.28,1.3037,64.94
1,0,3,0.437,94.07,1.3686,64.7
1,0,4,0.2767,97.4,1.3939,64.9
1,0,5,0.168,99.0,1.4085,65.28
1,0,6,0.1215,99.73,1.395,64.68
1,1,1,1.0034,74.08,1.2583,67.42
