run_id,tag,round,client,epoch,epochs_total,lr,replay_ratio,cl_batch,cl_batch_size,train_loss,train_acc,val_loss,val_acc
20251015-122621,controller_v2,0,0,1,20,0.0001,0.5,1,5242,4.2758,14.13,3.9399,21.62
20251015-122621,controller_v2,0,0,2,20,0.0001,0.5,1,5242,3.4589,40.09,3.2047,34.0
20251015-122621,controller_v2,0,0,3,20,0.0001,0.5,1,5242,2.8077,52.68,2.8103,44.1
20251015-122621,controller_v2,0,0,4,20,0.0001,0.5,1,5242,2.2904,63.78,2.4839,51.3
20251015-122621,controller_v2,0,0,5,20,0.0001,0.5,1,5242,1.8581,72.67,2.1938,54.98
20251015-122621,controller_v2,0,0,6,20,0.0001,0.5,1,5242,1.4746,79.72,2.0668,57.48
20251015-122621,controller_v2,0,0,7,20,0.0001,0.5,1,5242,1.1538,85.23,1.8657,59.78
20251015-122621,controller_v2,0,0,8,20,0.0001,0.5,1,5242,0.8864,90.33,1.7825,60.78
20251015-122621,controller_v2,0,0,9,20,0.0001,0.5,1,5242,0.6865,93.48,1.6868,62.1
20251015-122621,controller_v2,0,0,10,20,0.0001,0.5,1,5242,0.5013,96.45,1.6489,62.38
20251015-122621,controller_v2,0,0,11,20,0.0001,0.5,1,5242,0.3624,98.14,1.616,62.4
20251015-122621,controller_v2,0,0,12,20,0.0001,0.5,1,5242,0.2689,98.83,1.5326,64.04
20251015-122621,controller_v2,0,0,13,20,0.0001,0.5,1,5242,0.2004,99.28,1.5478,63.56
20251015-122621,controller_v2,0,0,14,20,0.0001,0.5,1,5242,0.1451,99.68,1.4956,63.8
20251015-122621,controller_v2,0,0,15,20,0.0001,0.5,1,5242,0.1099,99.91,1.4839,64.16
20251015-122621,controller_v2,0,0,16,20,0.0001,0.5,1,5242,0.0838,99.94,1.5004,64.22
20251015-122621,controller_v2,0,0,17,20,0.0001,0.5,1,5242,0.0632,100.0,1.4528,64.64
20251015-122621,controller_v2,0,0,18,20,0.0001,0.5,1,5242,0.0514,99.99,1.4613,64.52
20251015-122621,controller_v2,0,0,19,20,0.0001,0.5,1,5242,0.0429,99.99,1.4575,64.26
20251015-122621,controller_v2,0,0,20,20,0.0001,0.5,1,5242,0.0363,100.0,1.4553,64.32
20251015-122621,controller_v2,0,1,1,20,0.0001,0.5,1,5242,4.2697,15.09,3.9352,22.24
