run_id,client,cl_batch,size
20251016-090519,0,1,5242
20251016-090519,0,2,1001
20251016-090519,0,3,1001
20251016-090519,0,4,1001
20251016-090519,0,5,1001
20251016-090519,0,6,1001
20251016-090519,0,7,1003
20251016-090519,1,1,5242
20251016-090519,1,2,1001
20251016-090519,1,3,1001
20251016-090519,1,4,1001
20251016-090519,1,5,1001
20251016-090519,1,6,1001
20251016-090519,1,7,1003
20251016-090519,2,1,5242
20251016-090519,2,2,1001
20251016-090519,2,3,1001
20251016-090519,2,4,1001
20251016-090519,2,5,1001
20251016-090519,2,6,1001
20251016-090519,2,7,1003
20251016-090519,3,1,5242
20251016-090519,3,2,1001
20251016-090519,3,3,1001
20251016-090519,3,4,1001
20251016-090519,3,5,1001
20251016-090519,3,6,1001
20251016-090519,3,7,1003
